"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Qatar";"";"QAT";"C";"Albania";0;"";"ALB"
"Saudi Arabia";"";"SAU";"C R";"Albania";0;"";"ALB"
"State of Palestine";"-12";"PSE";"B";"Albania";0;"";"ALB"
"Syrian Arab Republic";"";"SYR";"C R";"Albania";0;"";"ALB"
"Turkey";"";"TUR";"B R";"Albania";3325;"";"ALB"
"United Arab Emirates";"";"ARE";"C R";"Albania";0;"";"ALB"
"Yemen";"";"YEM";"C R";"Albania";0;"";"ALB"
"Belarus";"";"BLR";"B";"Albania";0;"";"ALB"
"Bulgaria";"";"BGR";"B";"Albania";1134;"";"ALB"
"Czech Republic";"";"CZE";"C";"Albania";314;"";"ALB"
"Hungary";"";"HUN";"B R";"Albania";226;"";"ALB"
"Poland";"";"POL";"B";"Albania";125;"";"ALB"
"Republic of Moldova";"-13";"MDA";"B";"Albania";0;"";"ALB"
"Romania";"";"ROM";"B";"Albania";130;"";"ALB"
"Russian Federation";"";"RUS";"B";"Albania";234;"";"ALB"
"Slovakia";"";"SVK";"B";"Albania";93;"";"ALB"
"Ukraine";"";"UKR";"B";"Albania";0;"";"ALB"
"Denmark";"";"DNK";"B";"Albania";321;"";"ALB"
"Estonia";"";"EST";"B";"Albania";7;"";"ALB"
"Faeroe Islands";"";"FRO";"B";"Albania";0;"";"ALB"
"Finland";"-15";"FIN";"B";"Albania";382;"";"ALB"
"Iceland";"";"ISL";"B";"Albania";41;"";"ALB"
"Ireland";"";"IRL";"B";"Albania";297;"";"ALB"
"Isle of Man";"";"IMN";"B";"Albania";0;"";"ALB"
"Latvia";"";"LVA";"B";"Albania";5;"";"ALB"
"Lithuania";"";"LTU";"B";"Albania";0;"";"ALB"
"Norway";"-16";"NOR";"B";"Albania";972;"";"ALB"
"Sweden";"";"SWE";"B";"Albania";2161;"";"ALB"
"United Kingdom of Great Britain and Northern Ireland";"";"GBR";"B";"Albania";14688;"";"ALB"
"Albania";"";"ALB";"B";"Albania";0;"";"ALB"
"Andorra";"";"AND";"C";"Albania";0;"";"ALB"
"Bosnia and Herzegovina";"";"BIH";"I R";"Albania";0;"";"ALB"
"Croatia";"";"HRV";"B R";"Albania";173;"";"ALB"
"Gibraltar";"";"GIB";"B";"Albania";0;"";"ALB"
"Greece";"";"GRC";"B";"Albania";437356;"";"ALB"
"Holy See";"-17";"VAT";"I";"Albania";0;"";"ALB"
"Italy";"";"ITA";"B";"Albania";447586;"";"ALB"
"Malta";"";"MLT";"B";"Albania";90;"";"ALB"
"Montenegro";"";"MNE";"B";"Albania";2754;"";"ALB"
"Portugal";"";"PRT";"B";"Albania";49;"";"ALB"
"San Marino";"";"SMR";"B";"Albania";31;"";"ALB"
"Serbia";"-18";"SRB";"B";"Albania";467;"";"ALB"
"Slovenia";"";"SVN";"B";"Albania";152;"";"ALB"
"Spain";"-19";"ESP";"B";"Albania";1938;"";"ALB"
"The former Yugoslav Republic of Macedonia";"";"MKD";"B";"Albania";67799;"";"ALB"
"Austria";"";"AUT";"B";"Albania";3147;"";"ALB"
"Belgium";"";"BEL";"C";"Albania";7517;"";"ALB"
"France";"";"FRA";"B";"Albania";6695;"";"ALB"
"Germany";"";"DEU";"B";"Albania";18043;"";"ALB"
"Liechtenstein";"";"LIE";"B";"Albania";0;"";"ALB"
"Luxembourg";"";"LUX";"B";"Albania";301;"";"ALB"
"Monaco";"";"MCO";"B";"Albania";0;"";"ALB"
"Netherlands";"";"NLD";"B";"Albania";1192;"";"ALB"
"Switzerland";"";"CHE";"B";"Albania";2008;"";"ALB"
"Anguilla";"";"AIA";"B";"Albania";0;"";"ALB"
"Antigua and Barbuda";"";"ATG";"B";"Albania";0;"";"ALB"
